timeindex,Mid-electricity-load-profile,South-electricity-load-profile,North-electricity-load-profile
2015-04-02T17:00:00Z,59623.8301566448,6065.41348261477,12814.4678431365
2015-04-02T18:00:00Z,61332.1722728082,6081.08162259418,13192.5775435604
2015-04-02T19:00:00Z,58979.118368149,6423.93739155523,12787.4600073919
2015-04-02T20:00:00Z,55453.8612116793,6793.52116401056,12010.9847297357
2015-04-02T21:00:00Z,50383.6017364297,6543.75257963302,11283.2735999515
2015-04-02T22:00:00Z,46624.8647519353,6028.54727089853,10780.6277680388
2015-04-02T23:00:00Z,44511.0556093261,5334.54083534027,10581.0698705929
2015-04-03T00:00:00Z,43752.9667849994,4774.17441725338,10539.0576816569
2015-04-03T01:00:00Z,44417.8558425838,4441.4568565143,10526.3039814442
2015-04-03T02:00:00Z,46410.6013706618,4243.30096853949,10692.1020842094
2015-04-03T03:00:00Z,49532.3131453606,4184.31502979351,11285.5242529303
2015-04-03T04:00:00Z,55590.2979836113,4150.21378395598,12527.1344795207
2015-04-03T05:00:00Z,59932.2541269983,4277.40221437702,13716.9796876007
2015-04-03T06:00:00Z,62163.2835947886,4648.82929741816,14107.0928705777
2015-04-03T07:00:00Z,63186.559384279,5074.63404274076,14149.8552771733
2015-04-03T08:00:00Z,64181.9713259805,6069.1001037864,14119.8465707904
2015-04-03T09:00:00Z,65320.5457959769,6460.80360327147,14036.572410578
2015-04-03T10:00:00Z,64389.5089508912,6605.50348425772,13908.2851907913
2015-04-03T11:00:00Z,63933.1183405551,6714.25880882064,13811.5071127067
2015-04-03T12:00:00Z,63243.2479021945,6286.61075291223,13641.207703984
2015-04-03T13:00:00Z,63123.1451100008,6418.40745979779,13599.9457327076
2015-04-03T14:00:00Z,62194.9907319278,6465.411879736,13367.3782582405
2015-04-03T15:00:00Z,61877.9193605364,6335.45848343625,13334.3686812193
2015-04-03T16:00:00Z,62258.405006206,6219.32991653008,13243.5923444112
2015-04-03T17:00:00Z,62625.43913915,6043.29375558503,13492.6646073889
2015-04-03T18:00:00Z,63309.5446434854,6007.34919916169,14107.0928705777
2015-04-03T19:00:00Z,60477.040392389,6276.47254469026,13793.5018888769
2015-04-03T20:00:00Z,57941.4302435954,6746.51674407235,13064.2903237737
2015-04-03T21:00:00Z,53474.567196327,6520.71119731037,12272.810692926
2015-04-03T22:00:00Z,49898.3864559671,6051.58865322118,11821.9298795237
2015-04-03T23:00:00Z,47355.0897284731,5325.32428241121,11581.1100108013
2015-04-04T00:00:00Z,46376.9725888475,4838.69028775681,11578.8593578226
2015-04-04T01:00:00Z,46648.8853103741,4519.79755641131,11614.869805482
2015-04-04T02:00:00Z,47893.1502375009,4321.64166843651,11701.1448363327
2015-04-04T03:00:00Z,50575.7662039396,4217.49462033812,12386.8437771809
2015-04-04T04:00:00Z,55842.0334360493,4139.15392044111,13521.9230961122
2015-04-04T05:00:00Z,60532.7680879668,4287.54042259898,14610.48892015
2015-04-04T06:00:00Z,62831.0551193856,4587.07839279345,14781.5385465323
2015-04-04T07:00:00Z,63291.2890190719,5072.79073215495,14623.2426203627
2015-04-04T08:00:00Z,64147.3817218287,6079.23831200836,14471.6986531293
2015-04-04T09:00:00Z,65261.9356333863,6423.93739155523,14277.3922793004
2015-04-04T10:00:00Z,64009.0233052216,6538.22264787558,13997.5610922803
2015-04-04T11:00:00Z,62881.0178809382,6602.738518379,13708.7272933454
2015-04-04T12:00:00Z,62284.3472093199,6107.80962608845,13567.686373346
2015-04-04T13:00:00Z,61269.7188208674,6247.90123061017,13383.1328290915
