timeindex,Mid-pv-profile,South-pv-profile,North-pv-profile
2016-01-13T18:00:00Z,0,0.00232861990102,0
2016-01-13T19:00:00Z,0,0,0
2016-01-13T20:00:00Z,0,0,0
2016-01-13T21:00:00Z,0,0,0
2016-01-13T22:00:00Z,0,0,0
2016-01-13T23:00:00Z,0,0,0
2016-01-14T00:00:00Z,0,0,0
2016-01-14T01:00:00Z,0,0,0
2016-01-14T02:00:00Z,0,0,0
2016-01-14T03:00:00Z,0,0,0
2016-01-14T04:00:00Z,0,0,0
2016-01-14T05:00:00Z,0,0,0
2016-01-14T06:00:00Z,0,0,0
2016-01-14T07:00:00Z,0.003689503885455,0.010335063864209,0
2016-01-14T08:00:00Z,0.016636484241899,0.133546219465049,0
2016-01-14T09:00:00Z,0.053033532952038,0.381091964503461,0.022412159113523
2016-01-14T10:00:00Z,0.091068325438078,0.542652826333778,0.029554495534316
2016-01-14T11:00:00Z,0.114564961086832,0.613608485514793,0.044331743301474
2016-01-14T12:00:00Z,0.168563683930416,0.630818647999566,0.05245922957341
2016-01-14T13:00:00Z,0.138164401037242,0.624170345881253,0.035957969566751
2016-01-14T14:00:00Z,0.076015383694227,0.585327489117811,0.009851498511439
2016-01-14T15:00:00Z,0.006665230379456,0.479624496057027,0.000492574925572
2016-01-14T16:00:00Z,0,0.260346561572443,0
2016-01-14T17:00:00Z,0,0.057817285062238,0
2016-01-14T18:00:00Z,0,0.002431469477622,0
2016-01-14T19:00:00Z,0,0,0
2016-01-14T20:00:00Z,0,0,0
2016-01-14T21:00:00Z,0,0,0
2016-01-14T22:00:00Z,0,0,0
2016-01-14T23:00:00Z,0,0,0
2016-01-15T00:00:00Z,0,0,0
2016-01-15T01:00:00Z,0,0,0
2016-01-15T02:00:00Z,0,0,0
2016-01-15T03:00:00Z,0,0,0
2016-01-15T04:00:00Z,0,0,0
2016-01-15T05:00:00Z,0,0,0
2016-01-15T06:00:00Z,0,0,0
2016-01-15T07:00:00Z,0.003552855593401,0.011091931261256,0
2016-01-15T08:00:00Z,0.128421403260408,0.148055921271855,0
2016-01-15T09:00:00Z,0.211045525861398,0.422619458933084,0.012314373139298
2016-01-15T10:00:00Z,0.268145935915122,0.588378693223677,0.032017370162175
2016-01-15T11:00:00Z,0.288172417450767,0.651857979336299,0.04088371882247
2016-01-15T12:00:00Z,0.317338557656245,0.672261753033003,0.044824318227046
2016-01-15T13:00:00Z,0.264296881789224,0.668142495631652,0.02684533344367
2016-01-15T14:00:00Z,0.166084166318175,0.631638807443753,0.002955449553432
2016-01-15T15:00:00Z,0.028577305665789,0.523325017438451,0
2016-01-15T16:00:00Z,0,0.275921679506104,0
2016-01-15T17:00:00Z,0,0.05718700175947,0
2016-01-15T18:00:00Z,0,0.002418283634468,0
2016-01-15T19:00:00Z,0,0,0
2016-01-15T20:00:00Z,0,0,0
2016-01-15T21:00:00Z,0,0,0
2016-01-15T22:00:00Z,0,0,0
2016-01-15T23:00:00Z,0,0,0
2016-01-16T00:00:00Z,0,0,0
2016-01-16T01:00:00Z,0,0,0
2016-01-16T02:00:00Z,0,0,0
2016-01-16T03:00:00Z,0,0,0
2016-01-16T04:00:00Z,0,0,0
2016-01-16T05:00:00Z,0,0,0
2016-01-16T06:00:00Z,0,0,0
2016-01-16T07:00:00Z,0.022273671604785,0.010973258672869,0
2016-01-16T08:00:00Z,0.09313179098792,0.143709867368254,0
2016-01-16T09:00:00Z,0.146851873459439,0.413505404144948,0.035957969566751
2016-01-16T10:00:00Z,0.195272190607669,0.581508868940374,0.063295877935993
2016-01-16T11:00:00Z,0.215642201369148,0.648722385834247,0.074378813761361
2016-01-16T12:00:00Z,0.195438102500442,0.670500124387611,0.071915939133502
2016-01-16T13:00:00Z,0.156466111393108,0.66373051251228,0.044824318227046
2016-01-16T14:00:00Z,0.093252153450009,0.624360222022672,0.007388623883579
2016-01-16T15:00:00Z,0.017380034166259,0.511700378113769,0
2016-01-16T16:00:00Z,0,0.264777004872232,0
2016-01-16T17:00:00Z,0,0.056438045868316,0
2016-01-16T18:00:00Z,0,0.002534319054224,0
2016-01-16T19:00:00Z,0,0,0
2016-01-16T20:00:00Z,0,0,0
2016-01-16T21:00:00Z,0,0,0
2016-01-16T22:00:00Z,0,0,0
2016-01-16T23:00:00Z,0,0,0
2016-01-17T00:00:00Z,0,0,0
2016-01-17T01:00:00Z,0,0,0
2016-01-17T02:00:00Z,0,0,0
2016-01-17T03:00:00Z,0,0,0
2016-01-17T04:00:00Z,0,0,0
2016-01-17T05:00:00Z,0,0,0
2016-01-17T06:00:00Z,0,0,0
2016-01-17T07:00:00Z,0.011615104824581,0.011790780948425,0
2016-01-17T08:00:00Z,0.027546972454381,0.148833886017949,0
2016-01-17T09:00:00Z,0.064630316217908,0.415512289473007,0.013545810453228
2016-01-17T10:00:00Z,0.097338115508685,0.579747240294982,0.026352758518098
2016-01-17T11:00:00Z,0.11166048509893,0.647409075856095,0.026599045980884
2016-01-17T12:00:00Z,0.144794515095834,0.669938407469245,0.033495094938891
2016-01-17T13:00:00Z,0.103977644812727,0.664619238340868,0.010097785974225
2016-01-17T14:00:00Z,0.051538290188335,0.627324399563721,0
2016-01-17T15:00:00Z,0.005933385895383,0.518454166977315,0
2016-01-17T16:00:00Z,0,0.275217555481673,0
2016-01-17T17:00:00Z,0,0.060180188155458,0
2016-01-17T18:00:00Z,0,0.00258442525821,0
2016-01-17T19:00:00Z,0,0,0
2016-01-17T20:00:00Z,0,0,0
2016-01-17T21:00:00Z,0,0,0
2016-01-17T22:00:00Z,0,0,0
2016-01-17T23:00:00Z,0,0,0
2016-01-18T00:00:00Z,0,0,0
2016-01-18T01:00:00Z,0,0,0
2016-01-18T02:00:00Z,0,0,0
2016-01-18T03:00:00Z,0,0,0
2016-01-18T04:00:00Z,0,0,0
2016-01-18T05:00:00Z,0,0,0
2016-01-18T06:00:00Z,0,0,0
2016-01-18T07:00:00Z,0.015987850170306,0.01126334722226,0
2016-01-18T08:00:00Z,0.013018230862542,0.141647601498947,0.004186886867361
2016-01-18T09:00:00Z,0.026355053273784,0.409636677763525,0.019702997022877
2016-01-18T10:00:00Z,0.038605305467018,0.575896974093976,0.031524795236604
2016-01-18T11:00:00Z,0.03667848820923,0.644284031028566,0.040144856434112
2016-01-18T12:00:00Z,0.042149000281063,0.665842884585572,0.055168391664056
2016-01-18T13:00:00Z,0.023378817847597,0.659927715346628,0.029554495534316
2016-01-18T14:00:00Z,0.011327049207067,0.62132220375996,0.013299522990442
2016-01-18T15:00:00Z,0.000758308957766,0.511336448842715,0
2016-01-18T16:00:00Z,0,0.265966367924734,0
2016-01-18T17:00:00Z,0,0.056854718511986,0
2016-01-18T18:00:00Z,0,0.002542230560117,0
2016-01-18T19:00:00Z,0,0,0
2016-01-18T20:00:00Z,0,0,0
2016-01-18T21:00:00Z,0,0,0
2016-01-18T22:00:00Z,0,0,0
2016-01-18T23:00:00Z,0,0,0
2016-01-19T00:00:00Z,0,0,0
2016-01-19T01:00:00Z,0,0,0
2016-01-19T02:00:00Z,0,0,0
2016-01-19T03:00:00Z,0,0,0
2016-01-19T04:00:00Z,0,0,0
2016-01-19T05:00:00Z,0,0,0
2016-01-19T06:00:00Z,0,0,0
2016-01-19T07:00:00Z,0.001503131212593,0.011511241073557,0
2016-01-19T08:00:00Z,0.015657807647412,0.143396044301185,0.004186886867361
2016-01-19T09:00:00Z,0.029500763118049,0.40301211016289,0.054429529275698
2016-01-19T10:00:00Z,0.037910867498647,0.566788193643101,0.090387498842449
2016-01-19T11:00:00Z,0.040762414539161,0.632669940378406,0.102455584518961
2016-01-19T12:00:00Z,0.043816007657684,0.651238244708055,0.089894923916877
2016-01-19T13:00:00Z,0.037722308123578,0.646831535925944,0.057877553754702
2016-01-19T14:00:00Z,0.020555007611243,0.60354768718819,0.015762397618302
2016-01-19T15:00:00Z,0.002666804656843,0.494877879417727,0.000492574925572
2016-01-19T16:00:00Z,0,0.260797517408315,0
2016-01-19T17:00:00Z,0,0.058257692223586,0
2016-01-19T18:00:00Z,0,0.003167239525623,0
2016-01-19T19:00:00Z,0,0,0
2016-01-19T20:00:00Z,0,0,0
2016-01-19T21:00:00Z,0,0,0
2016-01-19T22:00:00Z,0,0,0
2016-01-19T23:00:00Z,0,0,0
2016-01-20T00:00:00Z,0,0,0
2016-01-20T01:00:00Z,0,0,0
2016-01-20T02:00:00Z,0,0,0
2016-01-20T03:00:00Z,0,0,0
2016-01-20T04:00:00Z,0,0,0
2016-01-20T05:00:00Z,0,0,0
2016-01-20T06:00:00Z,0,0,0
2016-01-20T07:00:00Z,0.019677354055761,0.011782869442532,0
2016-01-20T08:00:00Z,0.011529349751169,0.145276345534964,0.000985149851144
2016-01-20T09:00:00Z,0.025814821757899,0.414193705157594,0.018717847171733
2016-01-20T10:00:00Z,0.037715183072968,0.57396392948758,0.026352758518098
2016-01-20T11:00:00Z,0.046253538364545,0.63606397640628,0.02930820807153
2016-01-20T12:00:00Z,0.065851244533131,0.652182351077891,0.023397308964667
