timeindex;s_be;s_bb;w_be;w_bb;h_bb;demand-profile-be;demand-profile-bb
2016-01-11 20:00:00;0.0;0.0;0.1257;0.0753;0.45;1764.5735370000002;2034.252427
2016-01-11 21:00:00;0.0;0.0;0.07400000000000001;0.0608;0.45;1669.345933;1924.4712350000002
2016-01-11 22:00:00;0.0;0.0;0.0533;0.051;0.45;1601.8428210000002;1846.6516570000001
2016-01-11 23:00:00;0.0;0.0;0.0444;0.0456;0.45;1476.178545;1701.782173
2016-01-12 00:00:00;0.0;0.0;0.0326;0.0469;0.45;1402.799046;1617.188122
2016-01-12 01:00:00;0.0;0.0;0.0156;0.0556;0.45;1352.1717119999998;1558.8234380000001
2016-01-12 02:00:00;0.0;0.0;0.0023;0.0702;0.45;1333.638492;1537.457794
2016-01-12 03:00:00;0.0;0.0;0.0;0.0768;0.45;1374.321171;1584.3579869999999
2016-01-12 04:00:00;0.0;0.0;0.0;0.1012;0.45;1425.099181;1642.896376
2016-01-12 05:00:00;0.0;0.0;0.0;0.1011;0.45;1498.328004;1727.3167219999998
2016-01-12 06:00:00;0.0;0.0;0.0;0.0822;0.45;1689.385919;1947.5739230000001
2016-01-12 07:00:00;0.0011;0.0006;0.0001;0.0808;0.45;1857.9930219999999;2141.949166
2016-01-12 08:00:00;0.0168;0.0142;0.0086;0.0829;0.45;1914.1953899999999;2206.740913
2016-01-12 09:00:00;0.0206;0.027000000000000003;0.025;0.0839;0.45;1900.182467;2190.586402
2016-01-12 10:00:00;0.019;0.0354;0.0451;0.0865;0.45;1884.3614260000002;2172.347438
2016-01-12 11:00:00;0.023;0.0398;0.0676;0.0988;0.45;1915.2501260000001;2207.9568440000003
2016-01-12 12:00:00;0.0192;0.0336;0.1206;0.1236;0.45;1906.0588539999999;2197.360875
2016-01-12 13:00:00;0.0111;0.0197;0.2117;0.1711;0.45;1885.114809;2173.215961
2016-01-12 14:00:00;0.0023;0.0039;0.2976;0.2251;0.45;1879.238422;2166.441488
